Route 1,Route 2,Difference Raw,Difference Score
cast1,demo1,0.01191,0.01191
bros5,harv1,0.011938,0.011938
unco1,belf1,-0.011948,0.011948
pike1,cpea2,-0.01195,0.01195
cpea2,evan2,-0.011973,0.011973
sanl1,chal1,-0.012027,0.012027
bier3,gray3,-0.012038,0.012038
miss3,belf8,-0.01205,0.01205
cnee1,elbe2,0.01207,0.01207
elbe1,holy1,-0.012077,0.012077
como0,lapl1,-0.012078,0.012078
lapl1,elbe4,0.012093,0.012093
conu5,mwil6,0.012095,0.012095
lind2,conu5,0.012119,0.012119
eldi3,bros6,0.012129,0.012129
gray1,hand2,0.012159,0.012159
gray3,chal5,0.012186,0.012186
capi1,snef1,0.012197,0.012197
humb1,colu2,0.012198,0.012198
cpea2,conu1,-0.01221,0.01221
eolu3,kitc6,0.012213,0.012213
elbe3,elbe2,-0.012217,0.012217
ante1,como0,0.012229,0.012229
quan4,bros1,-0.012239,0.012239
elli3,holy1,0.01225,0.01225
bros5,bier3,-0.012255,0.012255
cast3,belf8,-0.012261,0.012261
humb2,lind1,-0.012274,0.012274
gray1,cast4,0.012283,0.012283
gray6,eolu3,0.012284,0.012284
belf8,kitc2,-0.012295,0.012295
cnee1,hand1,0.012307,0.012307
conu1,elbe2,-0.012313,0.012313
cast1,cast2,0.012326,0.012326
belf8,quan3,0.012328,0.012328
eldi3,hand1,-0.012355,0.012355
evan3,holy2,0.012363,0.012363
harv4,evan4,-0.012368,0.012368
bros2,holy2,-0.012385,0.012385
sher2,bros4,0.012428,0.012428
cnee3,lind2,0.012432,0.012432
gray3,blan1,-0.012434,0.012434
elbe1,colu6,-0.012454,0.012454
wils1,belf8,0.012457,0.012457
evan1,maro1,0.012467,0.012467
nava0,evan1,0.012472,0.012472
bier3,cnee3,-0.012551,0.012551
cast1,snef2,0.012556,0.012556
mass2,elli3,0.012563,0.012563
pyra1,bros5,-0.012574,0.012574
chal5,prin1,0.012599,0.012599
gray6,humb3,-0.012602,0.012602
mwil5,cast3,-0.012603,0.012603
